RUNCODE_x_x_x,ENDPERIOD,STRPERIOD_x_x_x,SEQUENCE_x_x_x,TYPE_x_x_x,RPTSEQ_x_x_x,PLANT_x_x_x,fd ingred cost/lb meat actual,feed efficiency adj to @bw lb,feed efficiency actual cal/lb,feed efficiency adj conv,feed efficiency actual conv,bird density sq ft place,bird density sq ft kill,age,RUNCODE_y_x_x,STRPERIOD_y_x_x,SEQUENCE_y_x_x,TYPE_y_x_x,RPTSEQ_y_x_x,PLANT_y_x_x,prestart & start feed lbs fed,starter $/ton,grower feeds lbs fed,grower feeds cost $/ton,first withdraw feeds lbs fed,first withdraw feeds cost $/ton,final withdraw feeds lbs fed,final withdraw feeds cost $/ton,total lbs fed/bird,RUNCODE_x_y_x,STRPERIOD_x_y_x,SEQUENCE_x_y_x,TYPE_x_y_x,RPTSEQ_x_y_x,PLANT_x_y_x,avg cal level,% protein per 1500,% lysine per 1500,% TSAA per 1500,% a.phos per 1500,% calcium per 1500,% animal protein,% added fat,RUNCODE_y_y_x,STRPERIOD_y_y_x,SEQUENCE_y_y_x,TYPE_y_y_x,RPTSEQ_y_y_x,PLANT_y_y_x,field condem w/b & field parts %,w/b disease condemn % total wb%,parts condemned 50% field,RUNCODE_x_x_y,STRPERIOD_x_x_y,SEQUENCE_x_x_y,TYPE_x_x_y,RPTSEQ_x_x_y,PLANT_x_x_y,live production cost,chick cost,house cost,feed ingr cost, vaccine medicat cost,doa cost actual,% livability,calorie conver,RUNCODE_y_x_y,STRPERIOD_y_x_y,SEQUENCE_y_x_y,TYPE_y_x_y,RPTSEQ_y_x_y,PLANT_y_x_y,doa @ $.46 %doa,days to @bw lb,down time,RUNCODE_x_y_y,STRPERIOD_x_y_y,SEQUENCE_x_y_y,TYPE_x_y_y,RPTSEQ_x_y_y,PLANT_x_y_y,loss 0-7 days %,loss 8-14 days %,loss 15-21 days %,loss 22-28 days %,loss 29-35 days %,loss 36-42 days %,loss 43-49 days %,loss 50-56 days %,loss after 56 days %,RUNCODE_y_y_y,STRPERIOD_y_y_y,SEQUENCE_y_y_y,TYPE_y_y_y,RPTSEQ_y_y_y,PLANT_y_y_y,act feed cost/lb meat indred cost,actual feed efficiency actual calorie,actual feed efficiency actual conv,calorie level,actual feed cost/ton,% mort
AUDIT,23 3,23 3,1.0,D,30.0,PART,23.01387,2501.85151,2248.06593,1.76433,1.58536,0.71141,0.73898,32.55,AUDIT,23 3,1.0,D,64.0,PART,1.0024,315.13,2.45853,301.75,,,2.92669,293.42,6.38762,AUDIT,23 3,1.0,D,30.0,PART,1418.01631,19.72978,1.17321,0.90109,0.42005,0.92639,0.76168,0.5,AUDIT,23 3,1.0,D,71.0,PART,0.35329,0.13905,0.21424,AUDIT,23 3,1.0,D,1.0,PART,46.42684,10.71508,8.62898,23.01387,0.00927,0.02178,96.26931,2248.06593,AUDIT,23 3,1.0,D,42.0,PART,0.04711,45.02192,19,AUDIT,23 3,1.0,D,5.0,PART,2.01264,0.55159,0.44666,0.39761,0.32219,,,,,AUDIT,23 3,1.0,D,1.0,PART,23.01387,2248.06593,1.58536,1418.01631,290.32999,3.73069
AUDIT,23 3,23 3,1.0,D,85.0,PART,29.92903,2600.49589,2279.02496,1.82653,1.60074,0.64838,0.67944,33.15,AUDIT,23 3,1.0,D,92.0,PART,1.29712,398.21,2.51874,370.81,,,1.88541,355.09,5.70127,AUDIT,23 3,1.0,D,85.0,PART,1423.7362,20.61675,1.24045,0.90738,0.41365,0.83028,3.05364,0.96094,AUDIT,23 3,1.0,D,74.0,PART,0.2886,0.2118,0.0768,AUDIT,23 3,1.0,D,95.0,PART,57.02028,13.17012,8.09501,29.92903,,0.07977,95.42773,2279.02496,AUDIT,23 3,1.0,D,88.0,PART,0.1405,49.78973,17,AUDIT,23 3,1.0,D,5.0,PART,2.01264,0.55159,0.44666,0.39761,0.32219,,,,,AUDIT,23 3,1.0,D,19.0,PART,29.92903,2279.02496,1.60074,1423.7362,373.94098,4.57227
AUDIT,23 3,23 3,1.0,D,64.0,PART,29.45468,2503.87992,2198.88048,1.77314,1.55715,0.7,0.73512,33.3,AUDIT,23 3,1.0,D,97.0,PART,1.27531,397.5093,2.58885,370.7946,,,1.7204,363.7525,5.58457,AUDIT,23 3,1.0,D,64.0,PART,1412.11536,21.47022,1.30817,0.95538,0.45937,0.86425,3.06248,0.78015,AUDIT,23 3,1.0,D,64.0,PART,0.26361,0.1704,0.09321,AUDIT,23 3,1.0,D,93.0,PART,56.69418,13.66995,8.12556,29.45432,0.03355,0.05522,95.22257,2198.88048,AUDIT,23 3,1.0,D,48.0,PART,0.09774,49.67174,17.7,AUDIT,23 3,1.0,D,19.0,PART,2.32272,0.78972,0.64102,0.59795,0.42602,,,,,AUDIT,23 3,1.0,D,13.0,PART,29.45468,2198.88048,1.55715,1412.11536,378.31435,4.77743
AUDIT,23 3,23 3,1.0,D,26.0,PART,27.85417,2374.37113,2110.8267,1.68244,1.4957,0.7011,0.74706,33.7,AUDIT,23 3,1.0,D,105.0,PART,1.30322,393.13,3.03291,374.15,,,1.36158,370.5,5.69771,AUDIT,23 3,1.0,D,26.0,PART,1411.26303,21.74191,1.33299,0.98104,0.49356,0.89847,3.15292,1.00663,AUDIT,23 3,1.0,D,43.0,PART,0.18005,0.08101,0.09904,AUDIT,23 3,1.0,D,75.0,PART,55.21319,14.32104,7.88448,27.85417,0.00582,0.04625,93.8484,2110.8267,AUDIT,23 3,1.0,D,12.0,PART,0.08398,48.27153,18,AUDIT,23 3,1.0,D,44.0,PART,3.79338,0.82438,0.56576,0.43366,0.53442,,,,,AUDIT,23 3,1.0,D,2.0,PART,27.85417,2110.8267,1.4957,1411.26303,372.45648,6.1516
AUDIT,23 3,23 3,1.0,D,36.0,PART,30.17549,2455.07603,2238.00359,1.74104,1.5871,0.73,0.77734,34.74,AUDIT,23 3,1.0,D,77.0,PART,1.32327,409.31,2.79532,388.32,,,2.67842,370.37,6.79701,AUDIT,23 3,1.0,D,36.0,PART,1410.1214,20.22709,1.30397,0.95939,0.42524,0.81816,,0.86275,AUDIT,23 3,1.0,D,106.0,PART,1.05153,1.02772,0.02381,AUDIT,23 3,1.0,D,67.0,PART,54.50969,11.10004,8.26711,30.17549,0.1108,0.13129,93.91013,2238.00359,AUDIT,23 3,1.0,D,50.0,PART,0.24398,45.88187,29.03,AUDIT,23 3,1.0,D,44.0,PART,3.79338,0.82438,0.56576,0.43366,0.53442,,,,,AUDIT,23 3,1.0,D,21.0,PART,30.17549,2238.00359,1.5871,1410.1214,380.25953,6.08987
AUDIT,23 3,23 3,1.0,D,98.0,PART,30.65433,2610.79159,2366.05741,1.8274,1.6561,0.75708,0.79517,34.91,AUDIT,23 3,1.0,D,61.0,PART,0.5044,386.63,3.56739,381.50462,,,2.88308,354.55,6.95487,AUDIT,23 3,1.0,D,98.0,PART,1428.68895,20.38443,1.17437,0.962,0.46537,0.94603,5.77572,1.3475,AUDIT,23 3,1.0,D,85.0,PART,0.37606,0.34339,0.03267,AUDIT,23 3,1.0,D,70.0,PART,54.73652,11.50633,7.64075,30.65433,0.38961,0.11454,95.20974,2366.05741,AUDIT,23 3,1.0,D,93.0,PART,0.21048,46.97431,16,AUDIT,23 3,1.0,D,22.0,PART,2.53227,0.8953,0.70963,0.60882,0.04424,,,,,AUDIT,23 3,1.0,D,25.0,PART,30.65433,2366.05741,1.6561,1428.68895,370.19814,4.79026
AUDIT,23 3,23 3,1.0,D,96.0,PART,29.78364,2666.5717,2347.21832,1.87455,1.65005,0.69451,0.72785,35,AUDIT,23 3,1.0,D,79.0,PART,1.04951,374.03,2.64693,365.87,,,2.26628,348.75,5.96272,AUDIT,23 3,1.0,D,96.0,PART,1422.51654,20.73327,1.26316,0.97027,0.49315,0.96543,1.57562,0.50001,AUDIT,23 3,1.0,D,93.0,PART,0.5517,0.36979,0.18191,AUDIT,23 3,1.0,D,91.0,PART,56.48203,13.45998,7.07151,29.78364,,0.04719,95.41983,2347.21832,AUDIT,23 3,1.0,D,98.0,PART,0.08409,51.80568,16,AUDIT,23 3,1.0,D,18.0,PART,1.73923,0.60346,0.51574,0.59907,1.12268,,,,,AUDIT,23 3,1.0,D,16.0,PART,29.78364,2347.21832,1.65005,1422.51654,361.00372,4.58018
AUDIT,23 3,23 3,1.0,D,61.0,PART,30.20487,2433.56422,2199.50854,1.71785,1.55263,0.69866,0.73405,35.3,AUDIT,23 3,1.0,D,18.0,PART,1.0268,393.01,1.24053,378.02,,,3.68007,360.08,5.9474,AUDIT,23 3,1.0,D,61.0,PART,1416.63552,21.4286,1.26888,0.96196,0.46923,0.92274,2.30531,1.43963,AUDIT,23 3,1.0,D,47.0,PART,0.19922,0.16024,0.03898,AUDIT,23 3,1.0,D,53.0,PART,53.39788,12.38112,7.51962,28.9022,,0.0863,94.87905,2327.93839,AUDIT,23 3,1.0,D,18.0,PART,0.09157,47.90869,19.3,AUDIT,23 3,1.0,D,23.0,PART,2.39091,0.60023,0.49019,0.63024,0.71027,,,,,AUDIT,23 3,1.0,D,9.0,PART,28.9022,2327.93839,1.6166,1440.01772,357.56684,5.12095
AUDIT,23 3,23 3,1.0,D,103.0,PART,29.32317,2541.62719,2245.18084,1.77598,1.56883,0.7,0.75311,35.4,AUDIT,23 3,1.0,D,87.0,PART,1.21579,390.49,2.39895,379.39,,,2.08997,352.72,5.7047,AUDIT,23 3,1.0,D,103.0,PART,1431.11424,21.20037,1.34072,1.02543,0.4242,0.90119,3.50143,2.4742,AUDIT,23 3,1.0,D,36.0,PART,0.13591,0.06348,0.07244,AUDIT,23 3,1.0,D,98.0,PART,58.28539,14.38385,7.54337,29.32317,0.2542,0.7767,92.94776,2245.18084,AUDIT,23 3,1.0,D,91.0,PART,1.35241,51.78404,16.2,AUDIT,23 3,1.0,D,60.0,PART,2.4739,0.90492,0.8155,0.69674,2.16119,,,,,AUDIT,23 3,1.0,D,12.0,PART,29.32317,2245.18084,1.56883,1431.11424,373.82116,7.05224
AUDIT,23 3,23 3,1.0,D,84.0,PART,28.44069,2510.96742,2224.52078,1.78689,1.58304,0.68586,0.73178,35.95,AUDIT,23 3,1.0,D,32.0,PART,1.11116,365.31,1.42856,364.79,,,3.31916,359.03,5.85888,AUDIT,23 3,1.0,D,84.0,PART,1405.21822,21.49683,1.35461,1.04642,0.43278,0.84425,2.54351,0.84557,AUDIT,23 3,1.0,D,89.0,PART,0.49342,0.38588,0.10755,AUDIT,23 3,1.0,D,38.0,PART,52.55354,11.39332,8.18027,28.44069,,0.18445,93.72558,2224.52078,AUDIT,23 3,1.0,D,68.0,PART,0.35396,52.08623,15,AUDIT,23 3,1.0,D,48.0,PART,2.42216,0.72984,0.52225,0.77858,1.21263,0.60896,,,,AUDIT,23 3,1.0,D,6.0,PART,28.44069,2224.52078,1.58304,1405.21822,359.31674,6.27442
